,,Dataset,,,Africa,,,,,Americas,,,,,,Asia,,,,,,Europe,,,,Pacific Region,,,
Pears,"Pyrus communis L., Pyrus pyrifolia (Burm. f.) Nakai",,x,x,,,,,,,,,,,,,x,,x,x,,,x,,,,,,"Zeven and Zhukovsky (1975), Castañeda-Álvarez (2016)"
Peas,Pisum sativum L.,x,x,x,,x,,,,,,,,,,,,,,x,x,,x,,x,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), West Asia- Flores-Palacios (1998). E Africa- Flores-Palacios (1998); only Ethiopia GRIN (2014). SW and SE Europe- close relatives native to this region GRIN (2014). SE Med- Engels et al. (2001), Castañeda-Álvarez (2016)"
Pepper,Piper nigrum L.,x,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Refers to P nigrum. Native to South Asia (India) GRIN (2014)"
Peppermint,Mentha × piperita L.,,x,x,,x,,x,,,,,,,,x,,,,x,x,x,x,x,x,,,,"GRIN (2014) for parent aquatica, spicata"
Persimmons,Diospyros kaki Thunb.,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,GRIN (2014)
Pigeonpeas,Cajanus cajan (L.) Huth,,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,"Zeven and Zhukovsky (1975), GRIN (2014), Castañeda-Álvarez (2016)"
Pimento,"Chillies and peppers (Capsicum annuum L., C. chinense Jacq., other Capsicum spp.), Pimento/allspice (Pimenta dioica (L.) Merr.)",x,,,,,,,,x,x,,,,x,,,,,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Caribbean- as determined from contributing species (Pimenta) (see Table 1, Khoury et al., 2014) Flores-Palacios (1998), GRIN (2014). Tropical South America and Central America and Mexico- as determined from contributing species (Capsicum, Pimenta) (see Table 1, Khoury et al., 2014), GRIN (2014)"
Pineapples,Ananas comosus (L.) Merr.,x,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Flores-Palacios (1998), with region further refined,  Castañeda-Álvarez (2016)"
Pistachios,Pistacia vera L.,,x,x,,,,,,,,,,,,x,,,,x,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), GRIN (2014)"
Plums,"Prunus domestica L.,  Prunus salicina Lindl.",,x,x,,,,,,,,,,,,,x,,x,x,,,x,,,,,,"Castañeda-Álvarez (2016). GRIN (2014)- the native distribution of Prunus salicina (Japanese plum). Prunus domestica (common or European plum) may have its origins in Asia_West, and as it is thought to be of hybrid origin involving P. cerasifera and possibly P. spinosa, their distributions overlap also in Europe_East_south."
Poppy,Papaver somniferum L.,,x,x,,,,,,,,,,,,,,,,,x,,x,,x,,,,GRIN (2014)
Potatoes,Solanum tuberosum L.,x,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Flores-Palacios (1998), with region further refined,  Castañeda-Álvarez (2016)"
Pulses nes,Not specified,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,
"Pulses, other","Cowpea (Vigna unguiculata (L.) Walp.), Chickpea (Cicer arietinum L.), Lentil (Lens culinaris Medik.), Faba bean (Vicia faba L.), Pigeonpea (Cajanus cajan (L.) Huth), Adzuki bean (Vigna angularis (Willd.) Ohwi & H. Ohashi), Mung bean (Vigna radiata (L.) R. Wilczek), Bambara bean (Vigna subterranea (L.) Verdc.), other Vigna spp. ",x,,,x,x,,x,x,,,,,,,,,x,,x,x,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Africa- as determined from contributing species (Vigna) (see Table 1, Khoury et al. (2014) Regions GRIN (2014). SE Med and W Asia- as determined from contributing species (Lens, Cicer, Vicia) (see Table 1, Khoury et al. (2014) Regions GRIN (2014).  South Asia- as determined from contributing species (Cajanus, Lens, Cicer) (see Table 1, Khoury et al. (2014) Regions GRIN (2014), Castañeda-Álvarez (2016)"
Pumpkins & gourds,"Cucurbita maxima Duchesne, Cucurbita moschata Duchesne, Cucurbita pepo L., other Cucurbita spp., Lagenaria Ser. spp.",,x,x,,,,x,,,x,x,,,x,,,,,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Castañeda-Álvarez (2016)"
Quinces,Cydonia oblonga Mill.,,x,x,,,,,,,,,,,,x,,,,x,,,,,,,,,GRIN (2014)
Quinoa,Chenopodium quinoa Willd.,,x,x,,,,,,,,,x,x,,,,,,,,,,,,,,,"Zeven and Zhukovsky (1975), GRIN (2014), Castañeda-Álvarez (2016)"
